OfficeID,OfficeName,DocumentType
54,"A&O Holdings",Letter|Letter;Letter Engagement|Engage;Pitch|Document;
36,"Abu Dhabi",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
1,"Amsterdam",Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Litigation Attachment|Document;Litigation Other|Document;Litigation Pleading Notes|Document;Litigation Statement|Document;Litigation Summary Proceedings|Document;Litigation Summons|Document;Memo|Memo;Notary Deed|Document;Pitch|Document;Standalone CV|Document;
2,"Antwerp",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
42,"Athens",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
30,"Bangkok",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
3,"Beijing",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
58,"Belfast - Admin",Attendance Note|Attend;Document|Document;Fax|Fax;HR Letter (Belfast)|Letter;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;
57,"Belfast - Law",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;HR Letter|Letter;ICM Special|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Pitch|Document;Standalone CV|Document;Structure Paper|Document;
5,"Bratislava",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
6,"Brussels",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
62,"Bucharest",Pitch|Document;Pitch|Document;
4,"Budapest",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo External|Memo;Pitch|Document;Standalone CV|Document;
61,"Casablanca",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
40,"Doha",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
7,"Dubai",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
34,"Düsseldorf",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Litigation|Document;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
8,"Frankfurt",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Litigation|Document;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
28,"Hamburg",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Litigation|Document;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
69,"Hanoi",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
68,"Ho Chi Minh City",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
25,"Hong Kong - Admin",Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;
9,"Hong Kong - Law",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
66,"Istanbul - Admin",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;
67,"Istanbul - Law",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
70,"Istanbul GE - Admin",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;
71,"Istanbul GE - Law",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;
50,"Jakarta",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
10,"London",Attendance Note|Attend;Bill Narrative|BillNarr;Document|Document;Fax|Fax;Fountain Guide|Document;HR Letter|Letter;ICM Special|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;Structure Paper|Document;
12,"Luxembourg Office",Attendance Note|Attend;Cover Sheet|Document;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
13,"Madrid",Attendance Note|Attend;Bill Narrative|BillNarr;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Pitch|Document;Standalone CV|Document;
49,"Mannheim",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Litigation|Document;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
15,"Milan",Attendance Note|Attend;Bollo Court|Document;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
16,"Moscow",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
38,"Munich",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Litigation|Document;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
17,"New York",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;ICM Special|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
18,"Paris",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
46,"Perth - Admin",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;
48,"Perth - Law",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
19,"Prague - Admin",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;
20,"Prague - Law",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
35,"Riyadh",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
29,"Rome",Attendance Note|Attend;Bollo Court|Document;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
43,"São Paulo",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
21,"Shanghai",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
65,"Singapore",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;SN Admin Letter|Letter;Standalone CV|Document;
64,"Singapore - AOA",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
33,"Singapore - ASSPL",Document|Document;Letter|Letter;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
45,"Sydney - Admin",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;
47,"Sydney - Law",Attendance Note|Attend;Document|Document;Fax|Fax;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
23,"Tokyo",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
63,"Trilegal",Pitch|Document;Standalone CV|Document;
26,"Warsaw - Admin",Attendance Note|Attend;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Sworn Translations|Document;
27,"Warsaw - Law",Attendance Note|Attend;Court Letter|Document;Document|Document;Fax|Fax;Fountain Guide|Document;Jaws Document|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;Sworn Translations|Document;
59,"Washington, D.C.",Attendance Note|Attend;Document|Document;Fax|Fax;ICM Special|Document;Letter|Letter;Letter Engagement|Engage;Memo|Memo;Memo External|Memo;Pitch|Document;Standalone CV|Document;
